Completed Date ; Description ; Paid Out (GBP) ; Paid In (GBP) ; Exchange Out; Exchange In; Balance (GBP); Category; Notes
23 Jul 2020 ; Restaurante Dos Mares FX Rate £1 = €1.0999 ; 36.37 ;  ;  EUR 40.00 ;  ; 10.43; Restaurants; 
23 Jul 2020 ; Andreas Brunch FX Rate £1 = €1.0978 ; 29.15 ;  ;  EUR 32.00 ;  ; 46.80; Groceries; 
22 Jul 2020 ; El Corte Ingles Marbel FX Rate £1 = €1.1078 ; 15.17 ;  ;  EUR 16.80 ;  ; 75.95; Shopping; 
22 Jul 2020 ; Parking FX Rate £1 = €1.1096 ; 7.62 ;  ;  EUR 8.45 ;  ; 91.12; Transport; 
22 Jul 2020 ; Bioparc Fuengirola FX Rate £1 = €1.1104 ; 4.24 ;  ;  EUR 4.70 ;  ; 98.74; Health; 
21 Jul 2020 ; delish Marbella FX Rate £1 = €1.1063 ; 37.45 ;  ;  EUR 41.43 ;  ; 102.98; Restaurants; 
21 Jul 2020 ; Itunes  ; 3.99 ;  ;  ;  ; 140.43; Shopping; 
21 Jul 2020 ; Itunes  ; 3.99 ;  ;  ;  ; 144.42; Shopping; 
20 Jul 2020 ; Jugarnia S.l -sotogran FX Rate £1 = €1.0932 ; 9.15 ;  ;  EUR 10.00 ;  ; 148.41; Transport; 
20 Jul 2020 ; Amazon FX Rate £1 = €1.0987 ; 21.78 ;  ;  EUR 23.93 ;  ; 157.56; Shopping; 
20 Jul 2020 ; New Capital 2000 Sl FX Rate £1 = €1.0932 ; 8.05 ;  ;  EUR 8.80 ;  ; 179.34; Transport; 
20 Jul 2020 ; Gpv Benahavis FX Rate £1 = €1.0932 ; 41.17 ;  ;  EUR 45.00 ;  ; 187.39; Transport; 
20 Jul 2020 ; Itunes  ; 0.79 ;  ;  ;  ; 228.56; Shopping; 
20 Jul 2020 ; Itunes  ; 16.50 ;  ;  ;  ; 229.35; Shopping; 
19 Jul 2020 ; Amazon FX Rate £1 = €1.1043 ; 15.48 ;  ;  EUR 17.09 ;  ; 245.85; Shopping; 
19 Jul 2020 ; Reebok Hybrid FX Rate £1 = €1.0982 ; 5.47 ;  ;  EUR 6.00 ;  ; 261.33; Health; 
18 Jul 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 266.80; General; 
16 Jul 2020 ; Gym junkie FX Rate £1 = €1.1029 ; 36.27 ;  ;  EUR 40.00 ;  ; 66.80; Restaurants; 
15 Jul 2020 ; Reebok Hybrid FX Rate £1 = €1.1027 ; 5.45 ;  ;  EUR 6.00 ;  ; 103.07; Health; 
14 Jul 2020 ; Isola Press  ; 38.00 ;  ;  ;  ; 108.52; Shopping; 
14 Jul 2020 ; Chiropractic - Ricardo FX Rate £1 = €1.1126 ; 35.95 ;  ;  EUR 40.00 ;  ; 146.52; Health; 
13 Jul 2020 ; Mgyk Lumiere FX Rate £1 = €1.1104 ; 33.33 ;  ;  EUR 37.00 ;  ; 182.47; Services; 
13 Jul 2020 ; Migos House FX Rate £1 = €1.1104 ; 11.71 ;  ;  EUR 13.00 ;  ; 215.80; Restaurants; 
13 Jul 2020 ; Hustle N Flow Eatery FX Rate £1 = €1.1104 ; 63.04 ;  ;  EUR 70.00 ;  ; 227.51; Restaurants; 
13 Jul 2020 ; Taxi 97 FX Rate £1 = €1.1104 ; 23.34 ;  ;  EUR 25.91 ;  ; 290.55; Transport; 
13 Jul 2020 ; Casanis Bistrot FX Rate £1 = €1.1104 ; 117.98 ;  ;  EUR 131.00 ;  ; 313.89; Restaurants; 
13 Jul 2020 ; Itunes  ; 7.99 ;  ;  ;  ; 431.87; Shopping; 
13 Jul 2020 ; Uber   *trip FX Rate £1 = €1.1104 ; 27.53 ;  ;  EUR 30.55 ;  ; 439.86; Transport; 
13 Jul 2020 ; Amazon FX Rate £1 = €1.1104 ; 15.31 ;  ;  EUR 16.99 ;  ; 467.39; Shopping; 
12 Jul 2020 ; Reebok Hybrid FX Rate £1 = €1.1154 ; 5.38 ;  ;  EUR 6.00 ;  ; 482.70; Health; 
12 Jul 2020 ; Amazon  ; 34.47 ;  ;  ;  ; 488.08; Shopping; 
12 Jul 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 522.55; General; 
9 Jul 2020 ; Gym junkie FX Rate £1 = €1.1107 ; 35.12 ;  ;  EUR 39.00 ;  ; 322.55; Restaurants; 
9 Jul 2020 ; Amazon Prime  ; 7.99 ;  ;  ;  ; 357.67; Shopping; 
9 Jul 2020 ; Amazon FX Rate £1 = €1.1090 ; 15.29 ;  ;  EUR 16.95 ;  ; 365.66; Shopping; 
8 Jul 2020 ; Amazon FX Rate £1 = €1.1042 ; 33.50 ;  ;  EUR 36.99 ;  ; 380.95; Shopping; 
7 Jul 2020 ; Reebok Hybrid FX Rate £1 = €1.1055 ; 6.79 ;  ;  EUR 7.50 ;  ; 414.45; Health; 
6 Jul 2020 ; Top-Up by *8018  ;  ; 400.00 ;  ;  ; 421.24; General; 
6 Jul 2020 ; Detalles Marbella Sl FX Rate £1 = €1.1031 ; 1.09 ;  ;  EUR 1.20 ;  ; 21.24; Shopping; 
6 Jul 2020 ; Itunes  ; 5.99 ;  ;  ;  ; 22.33; Shopping; 
5 Jul 2020 ; Reebok Hybrid FX Rate £1 = €1.1081 ; 5.42 ;  ;  EUR 6.00 ;  ; 28.32; Health; 
3 Jul 2020 ; Gym junkie FX Rate £1 = €1.1078 ; 40.63 ;  ;  EUR 45.00 ;  ; 83.37; Restaurants; 
3 Jul 2020 ; Amazon  ; 22.05 ;  ;  ;  ; 124.00; General; 
